,batch_year,OfficerId,EMPLOYEE_CODE,Service_Code,NAME,DOMICILE_STATE,CadreStateCode,Gender_name,CategoryDesc,SSDesc,HandicapStatus,recruitment_types,AADHAR_NUMBER,DATE_OF_BIRTH,DATE_OF_JOINING,Languages_names,mother_tongue_languages_name,DEGREE,DIVISION,SUBJECT1,SUBJECT2,SUBJEC3,INSTITUTION,UNIVERSITY,PASSINGYEAR,CGPA,PERCENTAGE,PostingLocation_Centre_Cadre,PostingType,PostingLevel,Designation,Department,Ministry,Office,Location,Remarks,MajorExperienceDescription,MinorExperienceDescription,tenure_type_types,debartment_type_value
0,1930,420,10932,IAS,Dr. Sundaradeva,Sikkim,SK,Male,O.B.C.,Serving,N.A.,Not Available,0,1952-09-02 00:00:00,1979-07-11 00:00:00,Hindi,Hausa,Ph. D.,Ordinary ,AppliedBotany,,,N.A.,N.A.,0,0.0,0.0,Both,Cadre_(Deputation_under_Rule_6(2)(ii),Director General Police,Assistant Collector,N.A.,N.A.,N.A.,N.A.,,Land Revenue Mgmt & District Admn,Land Revenue Mgmt & District Admn,,N.A.
1,1900,33071,27888,IAS,Shri Abha Gupta ,,TR,Male,N.A.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
2,1969,5404,3511,IAS,Ms. Adarsh Mishra,N.A.,DD,Male,O.B.C.,Serving,N.A.,Not Available,,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Urdu,Diploma,First ,DesignofMechEquipments,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,Terms,N.A.
3,1930,13701,10649,IAS,Ms. Aditi Mehta,Uttarakhand,PB,Male,O.B.C.,Serving,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Bengali,M.A.,Third,EconomicDev.,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
4,1900,37351,28410,IAS,Shri Anenla T. Sato ,,MT,Male,S.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
5,1900,37330,28475,IAS,Shri Anita Verma Singh ,,TR,Male,N.A.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
6,1934,14425,11192,IAS,Ms. Anjali Prasad,Tripura,UP,Male,O.B.C.,Serving,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Lepcha,Graduate,First ,EconomicDev.,,,N.A.,U/Delhi ,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,Reverted after extension,N.A.
7,1900,37365,28446,IAS,Shri Anju Chaudhry ,,GJ,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
8,1932,14261,10467,IAS,Ms. Anjuly Chib Duggal,Andaman & Nicobar,OD,Male,O.B.C.,Serving,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Lepcha,P.G.,First ,Psychology,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,Tenure not applicable,N.A.
9,1932,14272,8627,IAS,Ms. Anuradha Gupta,Gujarat,GJ,Male,O.B.C.,Superannuated,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Lepcha,Graduate,First ,Psychology,Sanskrit,Engineeriing,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,Foreign assignment,N.A.
10,1933,14361,9806,IAS,Dr. Aruna Sharma,Madhya Pradesh,KL,Male,O.B.C.,Serving,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Punjabi,P.G.,First with Distinction,DevMgt,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,Foreign assignment,N.A.
11,1900,37039,28321,IAS,Shri Atika Sultana ,,AP,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
12,1983,74,2815,IAS,Shri B Lal Shishoo,Punjab,PB,Male,O.B.C.,Serving,N.A.,Direct Recruitment,,1938-08-01 00:00:00,1992-05-13 00:00:00,Hindi,Lepcha,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,Cadre_(Deputation_under_Rule_6(2)(ii),Cabinet Secretary,Deputy Secretary,N.A.,N.A.,N.A.,N.A.,,Enquiries,Enquiries,N.A.,N.A.
13,1900,37089,28331,IAS,Shri B. Lavanya Veni ,,UT,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
14,1983,73,2814,IAS,Shri Choto Lal Jain,Punjab,PB,Male,O.B.C.,Serving,N.A.,Direct Recruitment,,1938-04-10 00:00:00,1992-05-13 00:00:00,Hindi,Lepcha,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,Cadre_(Deputation_under_Rule_6(2)(ii),Director General Police,N.A.,N.A.,N.A.,N.A.,N.A.,,N.Applicable/N.Available,N.Applicable/N.Available,N.A.,N.A.
15,1900,31853,27243,IAS,Shri Damyanti Dohre ,,TR,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
16,1900,158,24881,IAS,Shri Dhuda Ram Meena,Punjab,PB,Male,S.T.,Serving,N.A.,Direct Recruitment,,1954-04-10 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,Cadre_(Deputation_under_Rule_6(2)(ii),Director General Police,N.A.,N.A.,N.A.,N.A.,N.A.,,N.Applicable/N.Available,N.Applicable/N.Available,,N.A.
17,1900,14036,26208,IAS,Ms. Dorjee Eden Gyamtso ,,UD,Male,S.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
18,1900,31838,27227,IAS,Shri Dr. Alka Tanda ,,TR,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
19,1900,26672,27203,IAS,Shri Durga Joshi ,,PB,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
20,1900,37092,28306,IAS,Shri Esha Sengupta ,,UD,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
21,1933,14352,9234,IAS,Ms. G Latha Krishna Rao,A G M U T,JH,Male,O.B.C.,Serving,N.A.,Not Available,EF774AE81724D5F54A30CEA429B47EBA,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Italian,P.G.,First ,English,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,Foreign assignment,N.A.
22,1900,35474,28132,IAS,Shri Gangu Bai Ramesh Mankar ,,JH,Male,N.A.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
23,1932,14265,10671,IAS,Ms. Gurjot Kaur,Odisha,PB,Male,O.B.C.,Serving,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Urdu,P.G.,First ,Histology,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
24,1983,75,2816,IAS,Shri Harish N Sharma,Punjab,PB,Male,O.B.C.,Serving,N.A.,Direct Recruitment,,1938-08-09 00:00:00,1992-05-13 00:00:00,Hindi,Lepcha,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,Cadre_(Deputation_under_Rule_6(2)(ii),Cabinet Secretary,Collector & D M,N.A.,N.A.,N.A.,Rajsamand,,Land Revenue Mgmt & District Admn,Land Revenue Mgmt & District Admn,N.A.,N.A.
